user_id,user_watching,user_completed,user_onhold,user_dropped,user_plantowatch,user_days_spent_watching,joined_years_ago,stats_mean_score,stats_rewatched,stats_episodes,Female,dummy_age_18to25,dummy_age_26to30,dummy_age_31+
232071,13,785,21,91,80,220.98,11,7.65,3,13435,0,0,1,0
18950,19,1283,34,45,184,219.16,13,6.77,121,15319,1,0,1,0
321518,18,302,88,16,384,103.94,10,8.06,58,6127,0,0,1,0
1213223,26,428,20,63,22,79.61,8,7.18,9,5028,0,1,0,0
30429,22,843,14,15,32,323.99,12,7.07,155,19206,0,0,0,1
3862,15,775,65,73,5,346.18,13,8.18,113,20465,0,0,1,0
238050,28,438,18,77,91,147.35,11,8.06,43,8926,0,0,1,0
97271,10,1396,15,140,2,333.15,12,7.31,12,20361,0,0,0,1
243779,37,1322,2,19,65,276.65,11,8.42,0,18237,0,0,1,0
3732565,9,192,203,53,200,81.18,6,8.61,1,4819,1,1,0,0
27158,13,625,144,26,35,176.41,13,6.99,77,10410,0,0,1,0
757981,1,407,52,79,58,125.73,9,6.51,16,8216,1,1,0,0
263431,17,813,25,44,8,199.0,11,7.86,105,12401,0,0,0,1
6120,80,647,23,64,25,231.53,13,7.69,167,13782,0,0,1,0
156025,7,1472,8,5,587,353.78,11,7.48,82,21469,0,0,0,1
913423,23,847,6,30,204,224.97,9,6.88,77,13720,0,0,1,0
207424,5,449,0,132,98,163.48,11,7.29,38,9697,0,0,0,1
260256,17,367,93,38,321,105.32,11,7.86,16,6534,1,0,0,1
225088,14,756,9,254,45,189.7,11,7.64,71,11328,0,0,0,1
48024,90,1428,22,285,111,409.93,12,7.56,88,23907,0,0,1,0
35155,14,1157,2,0,18,380.33,12,8.07,93,22791,0,0,0,1
303002,51,1111,109,105,31,214.98,10,6.08,74,14210,0,0,0,1
1174133,80,661,16,29,449,218.0,8,7.22,0,14346,0,0,1,0
7920,85,543,3,81,121,417.89,13,6.53,157,25151,0,0,1,0
105574,11,1071,16,172,22,298.74,12,7.79,133,17644,0,0,1,0
102095,19,968,18,1,99,178.15,12,6.85,4,11217,1,0,1,0
4244237,23,666,6,0,530,120.12,6,7.43,189,7263,1,0,1,0
3064463,21,288,36,0,94,196.5,7,7.86,299,11420,0,0,1,0
1046191,32,2162,43,10,553,390.96,9,6.14,114,24843,0,0,1,0
356266,7,576,69,41,25,167.2,10,7.27,0,9919,0,0,0,1
31509,1,267,46,69,237,71.58,12,7.65,2,4240,0,0,0,1
496194,64,511,38,19,335,121.86,9,7.17,24,7606,0,0,1,0
288010,80,1161,4,0,53,359.04,10,8.32,4,21463,0,0,1,0
366662,9,977,230,40,367,203.33,10,8.38,0,12239,0,0,0,1
4570716,26,534,97,56,43,97.97,5,8.14,2,6340,1,0,1,0
3183323,29,868,64,25,60,155.03,7,7.46,0,9700,0,1,0,0
173720,100,263,136,288,70,63.64,11,6.38,9,3773,0,0,0,1
16794,17,845,14,17,61,232.37,13,6.76,41,15726,0,0,0,1
991915,9,970,24,0,157,275.27,9,4.9,46,16467,0,0,0,1
159138,147,318,53,73,68,79.97,11,7.39,0,4698,0,0,0,1
36192,99,297,79,51,1,113.58,12,7.13,16,6837,1,0,0,1
68053,80,929,170,40,203,269.7,12,7.92,58,15825,0,0,0,1
4514151,65,814,61,23,150,180.38,5,6.75,128,11476,0,1,0,0
28451,5,358,70,78,34,87.53,13,6.94,0,5437,1,0,0,1
77213,9,96,4,179,10,53.54,12,7.54,0,3212,0,0,0,1
3343257,42,1100,13,63,480,263.47,7,9.23,0,16915,1,1,0,0
119181,42,2828,5,0,33,410.6,12,6.67,35,27940,0,0,1,0
788763,64,801,45,0,467,339.14,9,7.66,173,20554,0,0,1,0
31695,22,978,18,0,373,250.46,12,7.28,0,15008,1,0,0,1
281513,5,704,7,19,685,177.15,10,7.52,14,10539,0,0,1,0
79664,25,1142,3,0,564,224.58,12,6.34,56,14619,0,0,0,1
378737,13,1009,19,28,24,267.47,10,6.94,27,16067,1,0,0,1
1695653,32,519,120,35,232,133.43,8,6.73,6,8413,0,1,0,0
1383449,7,289,2,225,20,114.89,8,4.69,0,6932,0,0,0,1
119333,22,503,78,13,177,156.43,12,7.55,23,9224,0,0,1,0
27595,6,1210,510,138,44,251.03,13,6.97,174,15120,0,0,1,0
23587,83,704,81,41,257,180.94,13,7.58,5,10888,0,0,0,1
980083,31,245,12,143,84,60.06,9,7.89,0,3612,0,1,0,0
255998,25,973,35,0,97,288.94,11,7.11,0,17286,0,0,0,1
1068485,51,439,41,100,92,164.54,9,7.66,2,10043,0,0,1,0
318255,9,308,92,27,351,120.54,10,7.47,1,7231,0,0,1,0
213623,6,819,0,53,11,187.45,11,6.79,9,11620,1,0,0,1
4141873,25,1143,80,0,205,211.77,6,6.77,7,12167,0,0,0,1
4343283,13,903,9,7,150,141.58,6,6.14,295,10278,0,1,0,0
110716,10,966,10,70,42,246.92,12,7.28,147,14976,0,0,0,1
3254929,21,1657,21,97,994,173.0,7,6.7,3,11413,0,0,1,0
26315,3,305,39,89,2,103.59,13,7.25,0,5856,0,0,0,1
1273645,88,462,21,60,463,115.3,8,6.31,120,6774,0,0,1,0
1196937,85,457,44,44,175,176.1,8,7.99,0,10591,0,0,1,0
34674,28,246,66,73,47,132.09,12,6.68,11,7937,1,0,0,1
101363,2,370,0,239,1,172.64,12,6.2,1,10129,0,0,1,0
563519,17,2379,37,4,3,339.83,9,6.93,0,22447,0,0,1,0
392264,9,1033,0,195,11,243.88,10,6.2,0,14533,0,0,0,1
1422371,3,305,2,1,3,195.6,8,7.63,337,11811,0,0,1,0
5722,19,615,20,125,41,145.22,13,6.86,23,8904,0,0,0,1
58688,17,338,35,62,76,158.11,12,6.75,290,8999,0,0,0,1
2677,1,255,2,213,2,127.17,13,7.32,50,7574,1,0,1,0
163858,25,1450,118,14,689,268.25,11,6.4,119,16372,0,0,1,0
5974876,3,551,37,369,1218,119.32,3,4.89,19,7206,0,1,0,0
688339,17,539,52,78,73,230.89,9,6.45,45,13745,0,0,1,0
1350725,111,617,0,0,19,151.05,8,7.81,149,9424,0,0,1,0
471358,21,575,57,61,58,127.55,9,8.69,14,8318,0,1,0,0
34681,36,950,59,30,99,330.29,12,6.57,121,19892,0,0,0,1
