anime_id,Shounen,Shoujo,Seinen,Ecchi,Mecha,Supernatural,SliceofLife,Action,Adventure,Comedy,Drama,Magic,Romance,type_ONA,type_OVA,type_special,pg13,pg17,90s,00s,10s
37104,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
865,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19363,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
799,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
6337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1837,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
8769,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1562,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
880,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
35889,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1469,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
2155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
22831,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19391,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
4554,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
31747,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5162,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3737,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2281,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
19255,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
36520,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
8241,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10384,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
14995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5163,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
9806,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12695,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1744,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0
33051,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
