anime_id,Shounen,Shoujo,Seinen,Ecchi,Mecha,Supernatural,SliceofLife,Action,Adventure,Comedy,Drama,Magic,Romance,type_ONA,type_OVA,type_special,pg13,pg17,90s,00s,10s
10048,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
3258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1365,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6872,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
8514,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6637,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
1709,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
5204,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
2042,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
13709,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2019,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0
898,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
2449,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
15201,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1090,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
1211,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
1930,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
1329,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1973,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6288,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
34830,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
12671,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1
9288,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
17437,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
20371,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
25161,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
13239,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4985,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1
1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2273,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
895,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0
597,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
31715,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1
465,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
31418,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
1474,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1931,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
462,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0
1526,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0
12355,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
212,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
