,score,scored_by,rank,popularity,members,favorites,duration_min,Shounen,Shoujo,Seinen,Ecchi,Mecha,Supernatural,SliceofLife,Action,Adventure,Comedy,Drama,Magic,Romance,type_ONA,type_OVA,type_special,pg13,pg17,90s,00s,10s
5473,7.32,11046,2366.0,2590,21194,47,104.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
5475,7.24,985,2649.0,5599,3531,4,95.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
5479,7.85,8356,798.0,3083,14897,58,140.0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
5487,7.18,26191,2896.0,1360,59767,148,106.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
5497,6.33,673,6285.0,7336,1589,5,55.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
5504,7.73,18885,1046.0,1699,43096,103,120.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
5507,7.39,1661,2082.0,5549,3616,5,70.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5510,8.09,59254,444.0,921,92867,695,126.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
5514,6.61,4369,,4083,7792,32,54.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
5531,7.36,3768,2179.0,3574,10684,139,105.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5536,5.62,127,8164.0,10112,365,0,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
5553,7.62,27148,1309.0,1414,56160,453,118.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
5564,8.04,66163,503.0,804,107779,394,47.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
5575,7.75,108456,993.0,309,230683,1393,50.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
5577,6.23,501,6649.0,7640,1376,0,50.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0
