,episodes,score,scored_by,rank,popularity,members,favorites,duration_min,Shounen,Shoujo,Seinen,Ecchi,Mecha,Supernatural,SliceofLife,Action,Adventure,Comedy,Drama,Magic,Romance,type_ONA,type_OVA,type_special,pg13,pg17,90s,00s,10s
3186,24,5.78,10307,7838.0,1571,47992,53,23.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
3187,20,6.3,1671,6411.0,4545,5988,15,25.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
3189,12,7.16,116406,2964.0,339,217315,920,24.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3190,24,7.5,31290,1633.0,952,89015,342,24.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
3191,13,7.28,2854,2486.0,3330,12777,47,24.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
3192,12,6.3,10304,6375.0,1995,33038,45,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3196,4,6.29,186,6434.0,9160,616,0,25.0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0
3198,3,7.58,6622,,3155,14297,96,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3202,12,4.6,8085,9311.0,2267,26678,70,3.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3203,39,6.9,328,3920.0,8324,973,6,25.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
3206,6,7.35,5246,2253.0,3409,11989,13,10.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1
3208,52,7.75,33876,987.0,1124,73588,1922,23.0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0
3209,358,7.88,11420,741.0,1756,40724,810,23.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
3211,4,6.34,988,6216.0,6659,2193,7,28.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
3212,26,7.4,3103,2011.0,4275,6943,16,24.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
3213,6,5.42,1270,8523.0,4702,5505,5,23.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3214,6,7.5,23176,1634.0,1530,50246,306,30.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
3215,24,8.11,51862,425.0,886,98240,542,23.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3216,15,6.82,2803,4234.0,4224,7233,16,7.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
3217,6,7.93,37768,640.0,1195,68248,112,3.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1
3218,3,5.35,847,8598.0,6784,2063,1,5.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
3219,13,6.54,793,5466.0,6268,2634,5,20.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
3221,12,5.66,515,8095.0,8187,1044,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3222,13,5.53,54228,8321.0,752,115192,190,23.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3223,13,8.19,196412,326.0,158,345552,6098,24.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3224,24,6.7,18603,4745.0,1932,35008,47,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
3226,51,6.68,3172,4836.0,4237,7136,32,25.0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0
3229,26,7.08,45365,3269.0,899,95850,558,23.0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0
3230,12,7.11,48454,3191.0,743,115592,933,24.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
3231,13,7.69,29980,1137.0,1179,69607,497,24.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3232,12,7.3,165626,2435.0,215,298139,2135,23.0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3234,12,6.9,135857,3910.0,272,253108,1558,23.0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
3235,2,5.63,315,,8190,1041,0,30.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
3237,22,8.23,11205,284.0,1380,58006,1523,25.0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1
3239,4,8.31,20660,229.0,1789,39616,267,27.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3240,2,6.55,834,5417.0,6556,2304,4,12.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
3241,3,7.32,23986,2339.0,1470,53371,119,10.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
3243,12,5.87,2674,7631.0,3047,15202,42,23.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3245,13,8.41,324545,164.0,66,545009,7040,24.0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
3246,2,6.62,24996,5119.0,1700,43040,34,23.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1
3247,6,7.0,15476,3578.0,1893,36258,90,25.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
3248,34,7.99,33532,561.0,1290,63024,865,24.0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0
